"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"8918","C11orf53",",97.5270323171558,-1.07203774798446,0.494310336268557,-2.16875446319218,0.0301013300872402,0.150687392682393"
"8919","CCT5",",9575.20169922647,0.19117258084176,0.120972473967718,1.58029818331049,0.114038595719155,0.31192784243391"
"8920","ATPSCKMT",",445.577889693567,0.35027110442267,0.130220818697529,2.68982416119088,0.00714896771440511,0.0704277102992374"
"8921","DOCK1",",2101.48375694829,-0.178348290065766,0.145976873492227,-1.22175715782311,0.221799474227514,0.451167499317181"
"8922","DIXDC1",",469.158409574632,-0.266654358740232,0.210627824849626,-1.26599778035312,0.205513876931037,0.433156517803328"
"8923","DLAT",",2140.46360938957,0.211977694039812,0.142827430041567,1.48415254673503,0.137768455548091,0.348089317940368"
"8924","PIH1D2",",33.0852778001666,0.144028802783737,0.20618782886027,0.69853203062409,0.484844533722043,0.69768415620651"
"8925","NKAPD1",",1203.46850283689,0.133954679049569,0.114109669066533,1.1739117302274,0.240430383467167,0.473206433938481"
"8926","TIMM8B",",1427.00388443526,-0.331924115789042,0.210053468762269,-1.58018869074094,0.114063660925346,0.311967159602736"
"8927","IL18",",875.668793220065,0.022894817521964,0.253345274633571,0.090370019946408,0.927993179806366,0.966619351157932"
"8928","TEX12",",2.73111486380208,1.52072722818457,0.347719545781509,4.37343038846636,1.22309257287847e-05,0.00197181443517093"
"8929","PTS",",661.170992567025,0.243220838064141,0.144259375448243,1.68599674931633,0.091796425474336,0.275890379579887"
"8930","PIP4K2A",",836.181087181493,-0.287989838519644,0.157512297501833,-1.8283641537023,0.0674949174580421,0.232941769140047"
"8931","C2orf50",",6.03167377591539,-0.93966376491699,0.403681931197375,-2.32773303013544,0.0199262841023567,0.120382809545915"
"8932","FREM2",",209.437143771669,-0.528301155103895,0.640463780990796,-0.824872804339715,0.409443807670757,0.634328128900063"
"8933","FOXO1",",902.502965454965,-0.282822584215957,0.214380019370424,-1.31925813350764,0.187082829275928,0.411229902694657"
"8934","CRIM1",",3198.2365348334,-0.0754987141322375,0.159462553612856,-0.473457325382695,0.635886939901226,0.803776517492647"
"8935","SEC24D",",2162.58847137617,-0.706025617241778,0.190665437705109,-3.70295542673941,0.000213102334712129,0.0105574297570457"
"8936","ABCB9",",254.815283619797,-0.464648593893945,0.218539288411391,-2.12615588378444,0.0334902820526006,0.159968314011276"
"8937","RILPL2",",532.246020049941,-0.103647198601058,0.200509035280057,-0.516920339556224,0.605211768537155,0.783754682123742"
"8938","DHX37",",1651.48827330459,0.0431069911994213,0.142322056349211,0.30288342021739,0.761978706988353,0.880990408862322"
"8939","UBC",",19774.3774150977,-0.230517630991569,0.146565715087209,-1.57279368407821,0.115766598588602,0.314678094719647"
"8940","ITPR1",",414.627892394529,-0.408060384435324,0.26723723622749,-1.5269593047578,0.126771131095572,0.331593154701606"
"8941","TKTL2",",1.1288340725235,-0.571545528385196,0.662838284560331,-0.862269940796057,0.388538989912443,0.615937834826158"
"8942","PRSS53",",38.2036362526868,0.214301863821457,0.284909463139361,0.75217531021998,0.451945639268187,0.670960476392315"
"8943","SLC7A11",",920.233656544163,-0.257934160772162,0.333987375457604,-0.772287157317729,0.439944370102366,0.660874979477067"
"8944","NOCT",",159.800708957007,-0.563778158865874,0.191673208313939,-2.94135087436148,0.00326784146017514,0.0454290680361651"
"8945","ENKUR",",23.865561295548,-0.292895586452089,0.329871572553279,-0.887907933942329,0.374590276621986,0.604289413597501"
"8946","GPR158",",38.2550000546135,-1.8933454128704,0.503215338416613,-3.76249543352134,0.000168226380933164,0.0094582770628704"
"8947","CACNA2D4",",180.066680268867,0.0140064543242237,0.309345438534945,0.0452777141003212,0.963885950788828,0.983724233873219"
"8948","DCP1B",",605.675233865567,-0.106821737682237,0.152796798348208,-0.699109790499675,0.484483420461621,0.697445792258022"
"8949","CACNA1C",",569.807934030942,0.013268629249596,0.346986414848014,0.038239621731035,0.969496630411252,0.986369254728926"
"8950","THRB",",227.871615360904,-0.723947731280224,0.422409913410728,-1.71385118648079,0.0865560598893031,0.26690328939764"
"8951","NGLY1",",1168.13418843667,-0.0224142560536245,0.112679029181501,-0.198921274139841,0.842324327704853,0.924600692370937"
"8952","OXSM",",500.815717030408,-0.231569355746461,0.144281341740597,-1.60498476762711,0.108497156920371,0.302816550830838"
"8953","UEVLD",",930.885376719705,0.0397362675852491,0.13707463230578,0.289887829110548,0.771902052997066,0.886322036219824"
"8954","TMEM86A",",152.734303779674,-0.450952083785504,0.237325279458037,-1.90014348583224,0.0574142923189829,0.213583509672096"
"8955","C12orf45",",471.433395434811,0.480581203037222,0.165026778957451,2.91214072087737,0.00358960880881801,0.0479381167237115"
"8956","TMEM263",",1311.87502553703,-0.355132465027121,0.206456122741637,-1.72013530192825,0.0854078500772759,0.26524064125744"
"8957","BTBD11",",112.466658699617,0.91777085287744,0.437075678258387,2.09979849836183,0.0357465704096377,0.165938395347655"
"8958","UBE3B",",1892.80311725834,-0.0227382569596306,0.0919190394484108,-0.247372656373247,0.804619833752415,0.904974641082024"
"8959","ANK3",",742.621754356127,-0.100785485095349,0.183760808029608,-0.548460175899479,0.583375966938435,0.767871442683573"
"8960","IPMK",",635.113015523162,0.0831836304839799,0.208166781496379,0.399600886779463,0.689450503201144,0.837384627821411"
"8961","RAD9B",",21.2055811927815,0.0642381495061574,0.265730646812332,0.241741591633292,0.808980399706801,0.907122471023497"
"8962","PLBD2",",2692.66322408231,-0.0461199695963387,0.176225792439417,-0.261709531606697,0.793545391436872,0.899178330493887"
"8963","DLG5",",1563.56170344437,-0.108180793857665,0.192436386244294,-0.56216392320074,0.574004339001138,0.761373090233793"
"8964","MAT1A",",150.627448126695,0.53720413502495,0.566083173855401,0.948984459944701,0.342628515820547,0.575716923393041"
"8965","SLC2A13",",442.20041069419,-0.390009581434448,0.210954477271593,-1.8487855127736,0.064488790078443,0.227549068330566"
"8966","GXYLT1",",690.955752826914,0.1972889629645,0.1576164579846,1.25170280748078,0.210678176707428,0.438706144032168"
"8967","TWF1",",2739.96473442405,0.171950816215098,0.201557098298713,0.853112183428352,0.393597095707481,0.620417202503473"
"8968","DIP2C",",575.795780758597,-0.363417136763422,0.24286550165016,-1.49637200135124,0.134556741575354,0.343093823765189"
"8969","EIF4E",",1378.32689162337,0.122947050067406,0.174959056041678,0.70271898379537,0.482230894658492,0.696007135587614"
"8970","MAGI1",",942.721425442704,-0.0941396171088738,0.152598370067749,-0.616911026422359,0.537293413473023,0.736343312283619"
"8971","TEX30",",323.007599955871,0.483563943856687,0.245508122485609,1.96964539894207,0.0488790247260578,0.19643161293298"
"8972","CSNK1G3",",1271.93920886722,0.046765725121697,0.142260961372188,0.328731963221778,0.742358292661005,0.869018132139773"
"8973","AL136982.1",",1.46878291302716,0.469238015363467,0.503237621115839,0.932438267081494,0.35111007617468,0.583285419110964"
"8974","SRFBP1",",450.932259379954,0.240831822325065,0.179756945953135,1.33976365168027,0.180322196325556,0.402790741435115"
"8975","AKAP6",",90.5039573847818,-0.8588991895913,0.294917136952684,-2.91234072887769,0.00358731091491896,0.0479293646965821"
"8976","NPAS3",",13.2171655440048,0.342003961984463,0.436991173560454,0.78263356945618,0.43384232253862,0.655933625475488"
"8977","FAM177A1",",2118.90537388109,-0.226347156783148,0.158375068621575,-1.42918426967812,0.152951277678019,0.367576863996425"
"8978","MBIP",",608.539077750829,-0.281205821434022,0.246024654282361,-1.14299854319187,0.25303919591343,0.486536883022792"
"8979","MIPOL1",",152.454680289184,-0.416892938574421,0.342902451384932,-1.21577707272331,0.224069854931815,0.453863554554377"
"8980","EXT2",",3309.29811157324,-0.14297103988042,0.103556615610974,-1.38060749703826,0.167399676967847,0.38663958516973"
"8981","TMEM18",",1062.45890327593,-0.197223040087574,0.132340356340933,-1.49027133929949,0.136152905251304,0.345459200761245"
"8982","KCTD14",",701.229264612111,-0.0899507510419729,0.210019256876667,-0.428297635082082,0.668434440495272,0.824174637608892"
"8983","THRSP",",3.86648440260812,0.5031897035137,0.598380112675509,0.840919831482721,0.400392847660595,0.626056333444227"
"8984","NDUFC2",",1275.05693859596,0.372689377341706,0.169003380782742,2.20521847323757,0.0274387674893483,0.14384894634193"
"8985","ME3",",830.323377627295,-0.0687483747128329,0.222498364287727,-0.308983730882309,0.757333902576473,0.878993569669477"
"8986","ADAMTS12",",805.154008342955,-0.315171771455255,0.352076900534867,-0.89517878331823,0.370691524500731,0.60089876589808"
"8987","NUBPL",",612.783373534179,0.0920750883137522,0.188278817536146,0.489035832701019,0.624816328555808,0.797275474198482"
"8988","NEK7",",1582.03571066847,-0.113718205742742,0.191872690584335,-0.592675306717288,0.553398470184761,0.74770926366598"
"8989","FER",",361.158706569965,-0.388174387493239,0.231460303303742,-1.67706678835482,0.0935294223331056,0.278872277511462"
"8990","VIPAS39",",712.384202857036,-0.29604460615401,0.109798360775876,-2.6962570666998,0.00701235266166425,0.0696026458367323"
"8991","ANKRD50",",737.352177392565,-0.341897794428655,0.180633903266482,-1.89276646435673,0.0583889331656849,0.215696805896276"
"8992","UPF2",",1442.15215807568,0.118443062196254,0.139640844447619,0.848197836849115,0.396327801742516,0.623038748779583"
"8993","CDC123",",2878.9612385772,0.171782936845361,0.118025005659639,1.45547916634504,0.14553665377143,0.357531533679941"
"8994","SCLT1",",332.827345756274,0.167385742367599,0.17059533613913,0.981185923108043,0.326501064678346,0.560891385100326"
"8995","CCDC3",",527.82991172525,-0.524577066770656,0.246077398378223,-2.1317563913951,0.0330268783215636,0.158611637495594"
"8996","C4orf33",",485.942078535627,0.0922227021538543,0.216946039940346,0.42509511664381,0.670767337655235,0.825168669506843"
"8997","FRMD4A",",298.876352444053,-0.554300062634272,0.230115373992215,-2.40879195951951,0.0160054187226498,0.107365084672856"
"8998","PTPRO",",2259.84602711576,0.623085088933025,0.478416489327377,1.30239049621605,0.192782929755686,0.418176418310048"
"8999","EPS8",",4361.77704755638,-0.2980764702155,0.15377530712159,-1.93838969204471,0.0525756970697734,0.204010484108509"
"9000","ACAD8",",835.004739249767,-0.0931792758389301,0.109541633287661,-0.850628870890002,0.394975546492788,0.621616226021226"
"9001","THYN1",",1172.08206233805,0.205343190808779,0.134479365368251,1.52694943381446,0.126773585807098,0.331593154701606"
"9002","VPS26B",",2231.54484502394,0.0821721641343224,0.0995805523425997,0.825182851483039,0.409267787684157,0.634143129106554"
"9003","NCAPD3",",1817.56674681544,0.159322645965735,0.143121054075403,1.11320201625818,0.265621676931386,0.499667388657674"
"9004","VTI1A",",808.219170855244,0.134019616927587,0.11098559673013,1.20754062577566,0.227224009335789,0.4576158873917"
"9005","QDPR",",1363.96739664699,-0.101677629575552,0.145866241704363,-0.697060734461296,0.485764785900955,0.698267849894378"
"9006","FAM160B1",",662.762150189388,-0.0637317172805696,0.143044636683638,-0.445537272547454,0.655931530292582,0.816695769497249"
"9007","ANO4",",8.0284399980231,-0.461188592332277,0.400688550130374,-1.15099019470913,0.249736269450536,0.482653483128417"
"9008","TEX9",",115.272663770774,-0.382214138969509,0.249268112837632,-1.53334549942405,0.125190749526893,0.329045763933952"
"9009","QTRT2",",1128.38959112554,0.296119635601337,0.112666526427525,2.62828406085477,0.00858168210037652,0.0778164958635758"
"9010","MMAA",",405.517135416754,-0.205068321334363,0.142186919806393,-1.44224462850445,0.14923337468056,0.362613862368119"
"9011","ZNF827",",786.482718241592,-0.346591909819723,0.165368966352622,-2.09587032841865,0.0360936954819761,0.166674950027264"
"9012","EDNRA",",484.08868848253,-0.594524321308365,0.344269819592154,-1.72691385498932,0.0841831357677564,0.263258375490637"
"9013","NR3C2",",702.357971276397,-0.621588490885242,0.303036614392809,-2.05119929857556,0.0402475421905284,0.176763359456748"
"9014","AKR1C6P",",1.85973254896439,1.44311984130328,0.45149322361381,3.19632669069175,0.00139189416813069,0.0289895352835816"
"9015","AKR1C2",",120.589957188473,-0.308002923305718,0.40701585851664,-0.756734453611285,0.449208969021607,0.668767106744456"
"9016","DPYSL4",",32.0855234009255,-1.16945518220825,0.461064825734422,-2.53642246585488,0.0111991539030319,0.0892754934386255"
"9017","VENTX",",130.079291174925,-2.72237201138799,0.618258822912558,-4.4032885751038,1.06622189061043e-05,0.00186490980056948"
"9018","ADAM8",",676.710811632308,-1.14199246514119,0.348237488516357,-3.27934958986345,0.00104046657388508,0.0245042894479149"
"9019","ITIH2",",10.3428032224379,-2.51166450256134,0.562200002360681,-4.46756401994815,7.91153386665074e-06,0.00154805086598677"
"9020","KIN",",392.753663827232,0.28261464665027,0.133323581784575,2.11976488230657,0.0340258782331509,0.161364395716454"
"9021","PIGF",",490.286708168349,-0.0227202269576887,0.130718139405336,-0.173810819684611,0.862014140946679,0.935360857858753"
"9022","ANKAR",",66.728361292299,0.0761764588287636,0.149214543038904,0.510516316153598,0.609689786720783,0.78702230718769"
"9023","INPP1",",1116.3710714069,-0.0329708662407698,0.177818757513529,-0.185418381625241,0.852900891941836,0.930222332918933"
"9024","MFSD6",",2649.69599064338,-0.0560138042857491,0.138095616381791,-0.405616092337707,0.685024702952325,0.83461464852396"
"9025","RNF144A",",557.628389571574,-0.650429492135107,0.252249284360416,-2.57851868156647,0.00992249343214608,0.0835849764289904"
"9026","ASAP2",",979.423769965053,-0.432010054417903,0.167463188637132,-2.57973144984123,0.00988771745636287,0.083388322363199"
"9027","ADAM17",",761.378044154556,-0.277895743886861,0.119407884415999,-2.32728136208086,0.0199502950848231,0.120477982321014"
"9028","FLI1",",276.637844861744,-0.705128384821052,0.279231111418147,-2.52525007417646,0.0115615985016785,0.0906360923233655"
"9029","KCNJ1",",1.07844437657038,-0.535685782890858,0.574092611785955,-0.933099942227759,0.350768368963213,0.583101672847492"
"9030","TMEM45B",",5181.19044932636,-0.227922575135723,0.239556849182972,-0.951434183214014,0.341384014613732,0.574681463346397"
"9031","WWC2",",310.589216951274,0.0786639364301426,0.301721091876717,0.260717392810857,0.79431045229623,0.899556741364744"
"9032","CENPU",",815.077716340428,-0.0329442610230143,0.241724743390471,-0.136288327628081,0.891593350988823,0.949264977902961"
"9033","ACSL1",",1592.58032364295,-0.276954181117272,0.255116703050638,-1.08559799419444,0.277656887593954,0.512866254243232"
"9034","SLC25A4",",1243.82896751948,-0.418175917537869,0.166450445856418,-2.51231479366894,0.011994204427292,0.0920767361296947"
"9035","AMN1",",99.7200459382213,-0.369921766282152,0.175225332468291,-2.11112035612256,0.0347619681776641,0.163452490287453"
"9036","BICD1",",399.859326385174,-0.222241092853607,0.201571658177823,-1.10254137343827,0.270226381885646,0.504265896490576"
"9037","SAV1",",871.769928596389,-0.188222499914063,0.191779807129845,-0.981451085653799,0.326370344543603,0.560788555576521"
"9038","CCDC122",",188.46754408856,0.372885539189744,0.265124711909048,1.40645334983962,0.159589547838927,0.376126565377587"
"9039","SERP2",",111.958412726286,0.261142230130443,0.442656382966226,0.58994344186463,0.555228568206595,0.749061461559846"
"9040","NBAS",",1677.51023573273,-0.27203606100916,0.106270069764161,-2.55985586170098,0.0104715584631212,0.0860490216710434"
"9041","ZNF385D",",24.9226017180942,-0.841324883986508,0.497078583675345,-1.69253899004428,0.0905432525044088,0.273971723920894"
"9042","TDO2",",200.347726410683,-1.12250919905139,0.427330561853401,-2.62679363297324,0.00861935901355422,0.0779820783306705"
"9043","GUF1",",1338.7194438284,-0.0496113581660834,0.14531084993982,-0.341415373914816,0.732790902954532,0.86351209775026"
"9044","SLC35F4",",1.23492930611253,0.054440268879503,0.590842412359247,0.0921400829404271,0.926586742306272,0.966321367590649"
"9045","GABRA2",",247.678304599724,-1.26698426034521,0.566777125827075,-2.23541883151397,0.0253898649420901,0.137581477996321"
"9046","SACS",",381.87897995038,-0.350015536934955,0.271703096319519,-1.28822800209587,0.197666607136816,0.423886603405747"
"9047","CCDC175",",13.6125225315212,0.734465807500886,0.461736187538472,1.59066113361472,0.111685858271136,0.307945083508982"
"9048","PABPC3",",79.5207128256988,-1.11112347746533,0.387917969455036,-2.86432587545836,0.00417897842013268,0.0520011046053184"
"9049","CENPJ",",604.320029775373,0.579911172352576,0.186883069415932,3.10306960478003,0.00191524589167228,0.034160681613079"
"9050","FBXO4",",371.741675085533,0.237030216977708,0.172556311851491,1.37363979581174,0.169553535829412,0.3897323764233"
"9051","TMEM267",",517.799497486039,0.195867210713255,0.180612742274743,1.08445953616776,0.278161098660842,0.513327906585085"
"9052","CCL28",",975.123226892614,-1.25246860325182,0.385158190455516,-3.25182907773701,0.00114664953374667,0.0260170560781573"
"9053","PARP8",",743.092791690349,-0.456725106327351,0.227437098150447,-2.00813811836991,0.0446286166154672,0.186972438311462"
"9054","GFRA1",",104.137925120243,-0.909123350359553,0.466995585987078,-1.94674934333257,0.0515647927744323,0.20192486858114"
"9055","CACUL1",",1933.51443409637,-0.172577208214684,0.105864676200217,-1.63016800701583,0.103065993615932,0.293892296231241"
"9056","DST",",3372.91266149928,-0.447152829071028,0.237321050038086,-1.88416842500599,0.0595421970725121,0.218041724646017"
"9057","BEND6",",20.0461273443722,-0.711440669062688,0.419117284938494,-1.69747394018143,0.0896070938754385,0.272311497530233"
"9058","TIAL1",",2505.27229929479,0.135210294845741,0.10264431037925,1.31727023491284,0.187748058657861,0.41228840695638"
"9059","BAG3",",1866.6250790405,-0.10335859324727,0.171916971851244,-0.60121227203038,0.54769861171968,0.743395687073911"
"9060","GLT1D1",",15.5467051422124,-1.20388550598178,0.459503482515214,-2.61997036321029,0.00879374088837213,0.0783515600374653"
"9061","TMEM132D",",6.29657800040203,-0.28533555516559,0.5783466058915,-0.493364277163442,0.621755218728114,0.795695967821062"
"9062","SCHIP1",",12.6346011789435,-0.424776243378701,0.320359615798402,-1.32593567488234,0.184861004974049,0.408475444542284"
"9063","KCNE4",",186.218211046436,-0.496792161764144,0.338769773308097,-1.46645952769916,0.142523139361858,0.35429593314256"
"9064","AP1S3",",339.115700514665,-0.122748193531415,0.217041150856836,-0.56555262929094,0.571697937755578,0.759983590653657"
"9065","RABGAP1L",",1521.97242211166,-0.0883687467969246,0.154774447983077,-0.570951781437379,0.568032328814778,0.757137915487057"
"9066","CCDC74B",",25.338131798044,-0.496301705286154,0.34245686099004,-1.44923861023356,0.14727095845811,0.359862305926858"
"9067","TMEM56",",883.390545383813,-0.291097953550405,0.308349636768315,-0.944051553299306,0.345143304487401,0.57804734158923"
"9068","MZT2B",",2275.13581625804,-0.178171051942707,0.184734163953825,-0.964472667801941,0.334809005142019,0.568437002969925"
"9069","TUBA3E",",1.25096004224001,-0.0520947347556276,0.597602990996293,-0.087172814628618,0.930534147861677,0.967618472627593"
"9070","ASTN1",",4.57715955124316,-0.909414965848728,0.715840469556554,-1.27041569249653,0.203936596374027,0.431632468469568"
"9071","FAM168B",",4328.0413623675,0.0695429605206246,0.123351426516489,0.563779134822802,0.572904453499147,0.760813359718979"
"9072","PTPN14",",621.713673482061,-0.24814518404037,0.238408079327286,-1.04084217590511,0.297948802127115,0.5340879749475"
"9073","AC073869.1",",612.823415302183,0.446970368260893,0.191687314477796,2.33176811662552,0.0197128931800556,0.119678738301333"
"9074","MGAT5",",6847.33408839416,0.467470223443091,0.215711332347554,2.16711017615849,0.0302264541751147,0.151152111895534"
"9075","TMEM163",",57.3383920231682,-0.980992990427043,0.376783833993361,-2.60359628498374,0.00922513512730484,0.0803310781900195"
"9076","GPATCH11",",376.59760850696,0.143469796261216,0.136418813761801,1.05168629095196,0.292943502738102,0.529129768486401"
"9077","HSPB8",",308.976709198865,-0.913378434532155,0.433028163087185,-2.10928182596811,0.0349202625655103,0.163901119778284"
"9078","GEMIN6",",514.174210142414,0.166186409260714,0.146644042874244,1.133263963564,0.25710342018988,0.490769334432448"
"9079","TMEM178A",",41.423465572994,0.811882428237362,0.297740713343263,2.72681024748318,0.00639498026995231,0.0664001474058515"
"9080","POU4F1",",17.6581282666848,0.189456438813398,0.613682669795525,0.308720529580091,0.757534125822197,0.878993569669477"
"9081","RNF219",",495.775982920413,0.519578644696302,0.178642847878021,2.90847717033191,0.00363193693539058,0.0482184932160878"
"9082","CYSLTR2",",23.6555427137939,-0.733113284748421,0.393832496176912,-1.86148500152995,0.0626757167443541,0.224072214481776"
"9083","GRID2",",1.06845948728612,0.591029737751733,1.03362239341166,0.571804308342169,0.567454558182239,0.756846290461568"
"9084","ARL11",",175.791457435758,0.243391430832262,0.422161934137486,0.576535710945924,0.564253139293624,0.755167023097186"
"9085","SETBP1",",163.653777889,-1.19001230563516,0.32561019738357,-3.65471448743763,0.000257468340654399,0.0116178902147584"
"9086","ARL14EP",",671.162213011147,0.154843447146515,0.13872698009159,1.1161739918528,0.264347664928565,0.498330955657053"
"9087","EPG5",",813.871301826873,-0.30478533227729,0.16191670827837,-1.88235874801319,0.0597873229288643,0.218620812414068"
"9088","PSTPIP2",",483.840680224682,-0.0408232682379882,0.28463822517919,-0.143421594946668,0.885957228976792,0.946621455201127"
"9089","ATP5F1A",",16384.0266660531,-0.597125594636334,0.155920628513741,-3.82967667798818,0.000128311733056337,0.00849010514871638"
"9090","HAUS1",",667.003132132637,-0.199838839652876,0.191768676881063,-1.04208279945957,0.297373292477797,0.533582517931883"
"9091","C18orf25",",731.677844173295,-0.226250952228809,0.144511076688147,-1.56563052060747,0.117435140556218,0.317086832740856"
"9092","SPC25",",431.453475129733,0.344582212994025,0.176648047977081,1.95067093545654,0.0510962029361128,0.20124000562502"
"9093","G6PC2",",1.0333340322798,-0.561633639712419,0.719439804869033,-0.780654108809921,0.435005958374903,0.656707550274406"
"9094","PDK1",",937.894457505167,-0.277198605456023,0.211289389954169,-1.31193812200485,0.189541013510676,0.414327060025202"
"9095","PDE3B",",775.911785795434,0.0659224308385529,0.210180599575788,0.313646601882408,0.753789461027022,0.876966485442154"
"9096","TCF7L1",",190.63929845456,-0.173590820640703,0.215730353658924,-0.804665721334492,0.421012605585752,0.64420437467048"
"9097","TGOLN2",",12502.3378958516,0.245520260960991,0.154150315907565,1.59273277849275,0.111220150880693,0.307265322453919"
"9098","SH2D6",",35.4240376007804,-1.7998940337776,0.506722843899553,-3.55202859994682,0.000382273307605808,0.0141917749566635"
"9099","KCNK13",",27.2277104723947,-0.465502620509688,0.339196633090071,-1.37236804584106,0.169948892366906,0.39011238823681"
"9100","UHMK1",",3297.25739060611,0.172772501619483,0.177244065483788,0.974771714629204,0.329673510655764,0.564281619013092"
"9101","ATG10",",253.768925546525,0.204251500903711,0.141596019445412,1.44249465277132,0.149162878992851,0.36259353623887"
"9102","POC5",",364.129685888506,0.40329520575678,0.130806469348937,3.08314418823549,0.0020482588611498,0.0354076976115825"
"9103","SPOCK1",",559.37275719752,-0.201813843738125,0.481085232229894,-0.419497066668811,0.674852898033045,0.828020596441784"
"9104","FAM151B",",25.7957638075683,-0.234445659657219,0.186309172927607,-1.2583688498704,0.208258391968166,0.436345219906015"
"9105","TADA1",",610.319345508937,-0.161954221204073,0.134525497700658,-1.20389237707523,0.228631178501557,0.459277005966917"
"9106","GUCY1A2",",99.0585703534405,-0.680419116423296,0.415959810449107,-1.63578090798882,0.10188544915571,0.292217162017261"
"9107","CWF19L2",",368.846820474239,0.263385470212667,0.150198905107801,1.75357783083458,0.0795028724517292,0.254769424771263"
"9108","JMY",",631.527636640072,0.0974602846209348,0.178059763568248,0.547345917280067,0.584141103465256,0.768262259783855"
"9109","HOMER1",",318.321530322798,0.249450781059856,0.249096419163153,1.00142258928448,0.316622547633772,0.551782485663729"
"9110","XRCC4",",332.845581064441,0.374163294697724,0.199290802918998,1.8774739687802,0.0604531618493146,0.220115006524939"
"9111","ZNF547",",43.3997684834841,-0.288806027893632,0.296077607340806,-0.975440292454123,0.329341905293382,0.563912498325367"
"9112","ZNF773",",94.3622291490362,0.0686020338032091,0.310246798089382,0.221120843875542,0.824998340866037,0.915023301094728"
"9113","ZNF776",",405.568826507798,-0.198950769672311,0.145966897856105,-1.36298553024287,0.172887070940838,0.393421565160543"
"9114","ZNF256",",69.3192998466342,0.48589807091126,0.402383858221664,1.20754861554012,0.227220934388004,0.4576158873917"
"9115","SUV39H2",",514.20573142849,0.127654143465737,0.154666032844084,0.825353447802098,0.40917095593323,0.634073738403167"
"9116","DCLRE1C",",342.988679811451,0.325974189347527,0.155818741384199,2.0920088716657,0.0364377220937647,0.167415010344206"
"9117","OLAH",",2.72002432751776,-0.0967471404410328,0.522941669868258,-0.185005605817195,0.853224638670063,0.930366327841497"
"9118","RPP38",",516.401476041493,0.163154068139832,0.105649788267683,1.54429148240649,0.12251773508351,0.324863682526313"
"9119","NMT2",",523.862514629811,0.196058985500853,0.144982967720693,1.35228977984888,0.176282632545307,0.397582873525434"
"9120","ZSCAN1",",1.16841103776827,-0.562836534695275,0.56933488050965,-0.988586074669169,0.322865702128103,0.557369767975983"
"9121","ZNF837",",95.1122049756269,-0.545889418260967,0.2580721865079,-2.11525862452542,0.0344079108196296,0.162673823350096"
"9122","USP12",",2050.53462732222,0.511332797199095,0.202259272769051,2.52810558546287,0.0114679857847056,0.0901988631798162"
"9123","CCDC50",",1688.57395913726,-0.0216107028177546,0.140039524269409,-0.1543185963427,0.877358535187641,0.942802776822537"
"9124","CAMK4",",76.4042171787609,-0.964624438522262,0.314535221851135,-3.06682486255484,0.00216345576435166,0.0365333560207068"
"9125","TRIM36",",276.202530374478,-0.0191863091046977,0.279322465535091,-0.0686887431984498,0.945237378666896,0.975284214497896"
"9126","ZFP36L2",",13038.9913155655,0.000936698218681771,0.160312054992299,0.00584296807078399,0.995338012513996,0.998010576430666"
"9127","PAN3",",2011.90870741053,0.402701247730438,0.197957834278597,2.03427790164492,0.0419235839485199,0.180929690768475"
"9128","PLEKHH2",",121.130023769863,-0.704953708080638,0.348031528131598,-2.02554553567366,0.0428113776497629,0.182743709745477"
"9129","PFKM",",2341.93997681113,-0.0979339528311547,0.169318506342116,-0.578400760477267,0.562993580645633,0.754354037082291"
"9130","TMEM123",",12897.2386249806,0.326788358887534,0.180297660130656,1.81249362110812,0.0699099586846732,0.237942303295357"
"9131","GRIA4",",9.3817764247627,-1.27276322993314,0.517555061707969,-2.45918419913223,0.0139253150198796,0.100108571638356"
"9132","IGSF10",",38.5278799287702,0.213583633021704,0.452719024284184,0.471779672522954,0.637084061661686,0.804672979674428"
"9133","SPEF2",",152.462414205105,0.406095314104284,0.259024310354219,1.56778841935317,0.116930518436094,0.316251045320719"
"9134","SPARCL1",",2471.8542804515,-0.615160042487436,0.358708679694325,-1.71492934882882,0.0863581810169633,0.266611527260674"
"9135","DMP1",",1.1450288049215,0.259766932191848,0.69969372731005,0.37125805484996,0.710445336336437,0.850249975978067"
"9136","MBNL1",",3627.85671623857,-0.0284248730869973,0.130266659196684,-0.218205281860187,0.827269169909117,0.915864854268776"
"9137","CAPSL",",0.997564698160925,-2.43327368500975,0.932814910853737,-2.60852786195576,0.0090932608743586,0.0797779171117811"
"9138","NADK2",",1117.67771446398,0.0233513552005929,0.161012325502174,0.145028370516129,0.884688472158116,0.94607857974408"
"9139","GPD1L",",1851.13394525373,-0.0316987621419656,0.157653053459385,-0.20106659177478,0.840646504403082,0.923651664515865"
"9140","GJA1",",928.465069195343,-0.400614040840216,0.283608281617683,-1.41256115144149,0.15778479844644,0.373926778093651"
"9141","CCNO",",396.62259716789,0.147308581087469,0.272440107014105,0.540700789989935,0.588713833896788,0.771520240416252"
"9142","CLEC4F",",5.60613374975587,-1.33744417362566,0.546368106626645,-2.44788112154501,0.0143699058747242,0.101783948703714"
"9143","SLC30A6",",1303.05934346303,0.00461303209008087,0.110366591946349,0.0417973592255467,0.966660240207756,0.984955157806492"
"9144","PELO",",876.731744829208,-0.148220650547583,0.11870906427682,-1.2486043205761,0.211809831299756,0.439856366882678"
