"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"54","KDM1A",",4265.31050084965,-0.0190618938240284,0.120711868295852,-0.15791234195224,0.874525872618885,0.941821921499135"
"55","RBM6",",2237.36852382641,0.517852887759896,0.175010888191774,2.95897525639914,0.00308663883982264,0.0438501077634004"
"56","CAMKK1",",548.406890451344,-0.251800106096431,0.187299316061162,-1.34437280066846,0.178827864700456,0.400998777527035"
"57","RECQL",",649.6527227995,-0.243525655908271,0.171203738701648,-1.42243188002254,0.154900913781996,0.370267213573444"
"58","VPS50",",862.72453096771,0.0871296570969961,0.143663709767997,0.606483413505763,0.544193793202003,0.741101175415805"
"59","HSPB6",",324.813015870613,-0.62249573958379,0.534848812976398,-1.1638723401472,0.244475750379997,0.477485663551435"
"60","ARHGAP33",",330.029534466905,0.419300392106183,0.245115193023382,1.71062587730409,0.0871501988205443,0.267951328021506"
"61","NDUFAB1",",2652.17198173933,0.136902432018377,0.162880826616052,0.840506736505506,0.400624326107644,0.626384709629806"
"62","PDK4",",629.940967624084,-0.69549637024182,0.349364253224002,-1.99074852055882,0.0465085415070192,0.190928424475917"
"63","SLC22A16",",3.32346084776583,-1.21739538164069,0.550901285737895,-2.20982490540038,0.0271173165382493,0.142942280650828"
"64","ZMYND10",",24.7313502090738,-1.17406205539739,0.385888124893145,-3.04249335405824,0.00234626998293151,0.0379934284694459"
"65","ABCB5",",3.79163836729456,-0.92175257036806,0.741658540065599,-1.24282607234123,0.213931932654563,0.442137105663301"
"66","ARX",",23.6031030125152,-0.803021590051336,0.727153733522255,-1.10433537370645,0.269447683533439,0.503327789866574"
"67","SLC25A13",",1485.63369721051,0.170656748443162,0.150050536142583,1.137328481659,0.255400992516002,0.489046671796728"
"68","ST7",",996.273111151894,0.110593513095202,0.115115315568121,0.960719366918268,0.336693290721996,0.570242627155833"
"69","CDC27",",1791.4957430165,-0.0222251081528406,0.153958393717744,-0.1443578853751,0.885217871009336,0.94617792952573"
"70","SLC4A1",",2.3028738606365,-2.12220825486971,0.825289658352828,-2.57147079621156,0.0101267555885856,0.0843799908837598"
"71","CALCR",",5.56821153001431,-0.731184550910346,0.608333541702245,-1.20194679528,0.229384142403216,0.46003461983884"
"72","HCCS",",1354.43519542991,0.218917213999687,0.148157065420751,1.47760225526865,0.13951427036261,0.350407094067146"
"73","DVL2",",1106.16547978132,-0.368779128972191,0.139398672599901,-2.64549957394969,0.00815703897434866,0.0757046616803487"
"74","PRSS22",",935.783998447557,-0.00731138037454039,0.313930193356634,-0.0232898285327861,0.981419085169727,0.991620473679891"
"75","UPF1",",5870.15078925316,-0.0194021259573841,0.121017097570369,-0.160325494057582,0.872624677275854,0.940989951327029"
"76","SKAP2",",1646.71405186489,0.141616545157705,0.200824542720334,0.705175489207603,0.480701032803487,0.694742750728368"
"77","SLC25A5",",26193.8102314747,-0.182034591562135,0.212004223544418,-0.858636627699051,0.39054102360117,0.617484955213544"
"78","MCUB",",565.680874806104,-0.438561038753908,0.244654138598158,-1.79257559780846,0.073040811183063,0.243421518636686"
"79","HOXA11",",563.543615529255,0.308931340845887,0.255276732093156,1.21018213572693,0.226209011411517,0.456580130939203"
"80","POLR2J",",1479.73204340625,0.278519753583226,0.16054648679721,1.73482309790453,0.0827721436689752,0.260525986085656"
"81","DHX33",",1090.52536248985,-0.334928234387898,0.132025417503934,-2.53684662180991,0.0111855948765076,0.0892522992880754"
"82","MEOX1",",66.5693759620545,-0.652061747411053,0.390836937575047,-1.66837288066164,0.095241728337495,0.281890012464561"
"83","THSD7A",",62.7679555071163,-0.493878667319551,0.393814507457838,-1.25408957254432,0.209809450030954,0.437897128381606"
"84","LIG3",",1282.62422483691,0.024831051297482,0.130101343441211,0.190859299686651,0.848635828082254,0.928120889900685"
"85","RPAP3",",1067.79006241507,0.289983538053801,0.15315503343843,1.89339867938703,0.0583048709277304,0.215440817230742"
"86","ACSM3",",655.455723611499,0.290480280985868,0.320707524064957,0.905748257178507,0.365069113851254,0.59558966466396"
"87","REXO5",",209.493936339142,0.191794870845105,0.19213655748943,0.998221646891204,0.318171891884925,0.553060342243724"
"88","CIAPIN1",",2184.57459842754,0.0193003594774409,0.123807992733618,0.15588944664475,0.876120163966692,0.942391122992777"
"89","SPPL2B",",2889.26060816973,0.0287316114256817,0.218901796332251,0.131253429195586,0.895574831109242,0.951324119831368"
"90","FAM214B",",796.83419884151,-0.286501521099168,0.211924631545003,-1.35190288646711,0.176406384050087,0.397729836151433"
"91","COPZ2",",192.985007309378,-0.766284455405394,0.306969661583509,-2.49628725996081,0.012550092314248,0.094457491289594"
"92","PRKAR2B",",231.88370272205,-1.49078005415512,0.3680354298078,-4.05064277353313,5.10771333002628e-05,0.00483967799373141"
"93","MSL3",",1064.23247050019,0.0794270442994701,0.122018198376836,0.650944247301296,0.51508247728204,0.720256263309781"
"94","CREBBP",",3338.08128932081,-0.128518794276808,0.144314781738997,-0.890544909732412,0.373173365128105,0.603174242107795"
"95","TSPOAP1",",771.764298390541,-0.106868072907561,0.478496924729933,-0.223341190683469,0.823269971254569,0.914222238505473"
"96","MPO",",12.6446005131442,-0.11548467720106,0.43305785913395,-0.266672627606879,0.789721230925777,0.897214823174512"
"97","PON1",",9.61382475818029,-1.70676714801599,0.749712896922831,-2.27656100758218,0.0228124535817274,0.130089238231449"
"98","GCFC2",",546.203270292763,0.133369855554062,0.173620049490184,0.76817081866805,0.44238570774725,0.663351230835804"
"99","WDR54",",418.400108342025,-0.870804955717224,0.22518952221215,-3.86698700349318,0.00011018829776013,0.00791944465182411"
"100","CROT",",478.676346372276,-0.112153975394736,0.203937894304593,-0.549941813301393,0.582359283756745,0.767337953535682"
"101","ABCB4",",53.0340045890164,-0.812431824299929,0.321348420398919,-2.52819610344243,0.0114650293507324,0.0901988631798162"
"102","KMT2E",",2778.71887328506,0.0671595333869455,0.142044739002898,0.472805496763771,0.636351952100623,0.804090975400454"
"103","RHBDD2",",2995.53160992056,-0.0624300031504328,0.178137608384967,-0.350459421322854,0.72599393854669,0.859586249819128"
"104","SOX8",",118.978621382459,-1.09132888854719,0.576333753383375,-1.89357101183217,0.0582819742539065,0.215383486414513"
"105","IBTK",",2257.2044933863,-0.076564214031625,0.165661738383205,-0.4621719823712,0.643957993506701,0.808793278979277"
"106","ZNF195",",981.916511819064,0.265975131928488,0.155759357894256,1.70760290440499,0.0877100491102377,0.269104394234468"
"107","MYCBP2",",1937.51246825089,0.0644497915975479,0.187058520085081,0.344543469969898,0.730437610537799,0.862294955134873"
"108","FBXL3",",1625.04225098505,0.106664648646425,0.169872546162852,0.627909871582005,0.530062983842309,0.731588206816695"
"109","ITGAL",",441.564133479054,-0.682051975461974,0.34786330307513,-1.96068964283556,0.0499152379992354,0.19838502947225"
"110","PDK2",",1011.2296777239,-0.0699762446421782,0.203268648993791,-0.344254979745134,0.730654538306211,0.862444861768344"
"111","ITGA3",",5220.91864167997,-0.512751263529809,0.248466347692749,-2.06366483143976,0.039049506017984,0.17346088987742"
"112","ZFX",",899.287329833527,-0.099417334361229,0.149839150979679,-0.663493711164394,0.507014405872906,0.714166845113506"
"113","LAMP2",",5356.26411511132,0.24611521283842,0.156216666230443,1.57547346757075,0.115147198062956,0.313695755716279"
"114","ITGA2B",",13.8879814548378,-0.0462749264287518,0.377352703623522,-0.122630435622689,0.902399752196107,0.954854580595511"
"115","ASB4",",20.7995400376406,-0.385080978426894,0.643499879112356,-0.598416551310119,0.549562024637786,0.744721017180453"
"116","GDE1",",3901.21951070042,-0.106429654449945,0.127681025682362,-0.833558893196198,0.404529597872118,0.62992548513306"
"117","REX1BD",",1562.40485634651,-0.490988494556035,0.268902998069268,-1.82589446038664,0.0678661607969139,0.233838086921378"
"118","CRLF1",",49.6577620266662,-0.324535065153691,0.265767286137395,-1.22112495435543,0.222038712691954,0.451347240428507"
"119","AC003665.1",",1095.97678653838,0.102828004371059,0.236332518347921,0.43509883908434,0.663490686053929,0.821341346472665"
"120","TMEM98",",2943.20050082947,-0.320426435047004,0.19425538069359,-1.64951124598413,0.0990429411672858,0.288123503375943"
"121","YBX2",",666.415117556747,0.433207219558408,0.293344028331986,1.47678894989516,0.139732219540784,0.350672456752396"
"122","MAP3K14",",652.873574981299,-0.224118124052561,0.173099918772157,-1.29473269336167,0.195412457658428,0.42122129010048"
"123","ABCC8",",14.3981642266869,-1.74893328599477,0.524656679234539,-3.33348140834958,0.000857664033123034,0.0221278837193016"
"124","TMEM132A",",1554.63243622252,-0.801487384627469,0.246886823717827,-3.24637569781167,0.00116884478129257,0.0262159037033951"
"125","AP2B1",",10909.4420798793,-0.29883422136739,0.127337710328291,-2.34678494372925,0.0189361809018006,0.117211043012009"
