cancer_group,alteration_group,confounder,ras,nonras,cancer,number_ras,number_nonras,Parameter,mean,se_mean,sd,2.5%,5%,25%,50%,75%,95%,97.5%,n_eff,Rhat,variable,z,p,00,10,01,11,n,chisq_stat,chisq_p,chisq_padj,is_driver,cutoff_nmodel,cutoff_ntest
multi,Any mutation,none,KRAS_12V,TET1,non-small cell lung cancer,157,105,"beta[1,4]",0.244,0.013,0.443,-0.712,-0.533,-0.035,0.286,0.547,0.893,1.021,1155.37,1.009,NA,0.551,0.24,3434,151,99,6,3690,0.257,0.21,0.03,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,EPHB1,non-small cell lung cancer,157,106,"beta[1,4]",-0.019,0.029,0.513,-1.273,-0.936,-0.314,0.038,0.335,0.715,0.825,320.386,1.006,NA,-0.038,0.01,3452,152,101,5,3710,0,0,0,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,DICER1,non-small cell lung cancer,157,71,"beta[1,4]",-0.683,0.022,0.809,-2.574,-2.153,-1.117,-0.583,-0.118,0.419,0.565,1337.261,0.999,NA,-0.844,0.4,3476,155,69,2,3702,0.092,0.12,0,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12V,PDGFRB,non-small cell lung cancer,158,77,"beta[1,4]",0.773,0.011,0.402,-0.058,0.07,0.515,0.786,1.064,1.388,1.499,1414.085,1.003,NA,1.923,1.26,3475,151,70,7,3703,3.355,1.17,0.49,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12V,PTEN,non-small cell lung cancer,164,69,"beta[1,4]",-6.017,0.142,4.877,-16.635,-13.319,-7.631,-5.079,-3.176,-1.487,-1.017,1185.741,0.999,NA,-1.234,0.66,3590,164,69,0,3823,2.175,0.85,0.38,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12V,U2AF1,non-small cell lung cancer,157,70,"beta[1,4]",1.027,0.012,0.382,0.208,0.39,0.824,1.022,1.286,1.625,1.69,1068.431,1.002,NA,2.687,2.14,3480,149,62,8,3699,7.349,2.17,1.17,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,IKZF1,non-small cell lung cancer,157,63,"beta[1,4]",-1.991,0.64,2.448,-10.68,-10.68,-2.342,-1.383,-0.713,0.153,0.336,14.627,1.168,NA,-0.813,0.38,3480,156,62,1,3699,0.548,0.34,0.11,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12V,NKX2-1,non-small cell lung cancer,160,65,"beta[1,4]",1.517,0.01,0.335,0.848,0.971,1.269,1.516,1.754,2.066,2.19,1063.13,1.003,NA,4.526,5.22,3492,149,54,11,3706,22.439,5.66,3.92,TRUE,4.84,4.84
multi,Any mutation,none,KRAS_12V,MGA,non-small cell lung cancer,145,151,"beta[1,4]",0.823,0.007,0.288,0.23,0.332,0.649,0.81,1.016,1.31,1.379,1482.966,1.003,NA,2.858,2.37,3062,131,137,14,3344,8.082,2.35,1.24,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,AMER1,non-small cell lung cancer,158,118,"beta[1,4]",0.6,0.036,0.394,-0.152,0.014,0.347,0.592,0.864,1.265,1.429,117.344,1.038,NA,1.522,0.89,3449,149,109,9,3716,2.608,0.97,0.45,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,ZFHX3,non-small cell lung cancer,146,107,"beta[1,4]",0.796,0.01,0.348,0.051,0.184,0.575,0.813,1.038,1.344,1.419,1153.338,1.002,NA,2.289,1.66,3092,136,97,10,3335,5.349,1.68,0.78,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,GLI1,non-small cell lung cancer,145,79,"beta[1,4]",1.03,0.012,0.366,0.331,0.443,0.755,1.044,1.293,1.615,1.721,967.633,1.006,NA,2.818,2.32,3122,136,70,9,3337,8.01,2.33,1.24,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,PGR,non-small cell lung cancer,145,65,"beta[1,4]",-6.066,0.148,4.342,-16.857,-14.794,-7.895,-5.18,-3.071,-1.232,-0.892,860,1.001,NA,-1.397,0.79,3109,145,65,0,3319,2.056,0.82,0.37,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,INHBA,non-small cell lung cancer,145,64,"beta[1,4]",-1.486,0.032,1.175,-4.175,-3.646,-2.135,-1.314,-0.662,0.105,0.32,1377.053,1.003,NA,-1.265,0.69,3130,144,63,1,3338,0.628,0.37,0.12,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,EPHA7,non-small cell lung cancer,145,102,"beta[1,4]",0.027,0.014,0.458,-0.943,-0.779,-0.265,0.058,0.361,0.71,0.839,1084.581,1.001,NA,0.06,0.02,3097,140,97,5,3339,0.001,0.01,0,FALSE,4.75,4.75
multi,Any mutation,none,KRAS_12V,PREX2,non-small cell lung cancer,83,66,"beta[1,4]",0.257,0.015,0.562,-0.959,-0.723,-0.063,0.28,0.639,1.103,1.258,1317.069,1.002,NA,0.457,0.19,1758,79,62,4,1903,0.145,0.15,0,FALSE,4.75,4.75
